query,name,license,slug,faces,verts,likes,views,author,url,staffpick
roomba,Roomba from Poly by Google,CC Attribution,?,19992,10160,4,696,ie-niels,https://sketchfab.com/3d-models/none-a3b4d52293614b018afb2aa2dd9b4654,False
robot vacuum,Vacuum Cleaner,CC Attribution,?,784,400,4,524,yni-viar,https://sketchfab.com/3d-models/none-ad289efad72f461c90d05dc5f084b517,False
robot vacuum,Робот-пылесос / Robot vacuum cleaner,CC Attribution,?,133977,68530,4,3663,mishauriku2008,https://sketchfab.com/3d-models/none-4c57286b98844d00923ef04563e02a99,False
dyson vacuum,upright_dyson_vacuum_cleaner,CC Attribution,?,16267,8193,3,82,tech.service.allwe,https://sketchfab.com/3d-models/none-c761c146f00e47bda4af9c647d4aa0ee,False
dyson vacuum,Dyson V10 Absolute (Scaniverse LIDAR),CC Attribution,?,117162,58909,3,1724,db4,https://sketchfab.com/3d-models/none-06503100aed24775b8b3274bf83d0bca,False
roomba,Augustus Roomba,CC Attribution-NonCommercial,?,6124,3219,3,97,BunnyGameTW,https://sketchfab.com/3d-models/none-0b6017eee4a4422197fe0dfb78f2366b,False
roomba,Mouse Droid,CC Attribution,?,30468,15300,3,262,ChipinDip5674,https://sketchfab.com/3d-models/none-283b659d0bf8466f939c858377bdf994,False
roomba,roomba,CC Attribution,?,5888,3102,3,1659,lillianmazanek,https://sketchfab.com/3d-models/none-16509583bde6415a80734c2407c31956,False
roomba,Opossum On A Roomba,CC Attribution,?,42304,21142,3,150,Notsmarts,https://sketchfab.com/3d-models/none-40839458d00c4839abffdf6aea050fbd,False
roomba,Simple Roomba,CC Attribution,?,7304,3672,3,605,shaunansari,https://sketchfab.com/3d-models/none-343c89cc00734a7396a9ff250fbdb2db,False
robot vacuum,MMU 10094,CC Attribution,?,1376,688,3,90,CollectedParts,https://sketchfab.com/3d-models/none-dbf0d9d3ccbc4a118e60613c46ac8bb9,False
roomba,Protogen Roomba,CC Attribution,?,1404,735,2,5,PlushStorm,https://sketchfab.com/3d-models/none-d54f10c5fc2c4a5987b3801c3b8b1c03,False
roomba,Cepillo limpiador iRobot Roomba,CC Attribution,?,17136,8566,2,69,OscarDm,https://sketchfab.com/3d-models/none-e823e9294c05459e8c7bc64fec217937,False
roomba,Best Cat Goes For A Ride,CC Attribution,?,12244,5871,2,342,CR4YCR4Y,https://sketchfab.com/3d-models/none-48be82f394f5420aa4ae91828dbb4f32,False
roomba,Roomba S9 Plus Bottom,CC Attribution,?,55464,28257,2,929,thedeserttabernacle,https://sketchfab.com/3d-models/none-b1f18148440a457caa7cc93bc9d812bf,False
henry hoover,Henry Hoover,CC Attribution,?,41780,28044,2,320,juliegraham178,https://sketchfab.com/3d-models/none-6219d849376a4e30bf0f1c00d3e8c86f,False
hoover vacuum cleaner,Lockheed S-3 Viking,CC Attribution,?,36366,18142,2,223,Spark_Customs,https://sketchfab.com/3d-models/none-6a1bace15e8544f8ad732b8ac2f2077f,False
hoover vacuum cleaner,MMU 10062,CC Attribution,?,6020,3010,2,65,CollectedParts,https://sketchfab.com/3d-models/none-fc4c039d05fe4e14af6a44745636e18d,False
upright vacuum,[Paper Mario: Sticker Star] Upright Vacuum,Free Standard,?,1077,649,2,86,Starlight_lambda64,https://sketchfab.com/3d-models/none-d236b4a2acec4c7db61aaad2b3fa682b,False
dyson v11,XYZ HW Detailing | Dyson V11,CC Attribution,?,110186,46459,1,302,iliiakireev,https://sketchfab.com/3d-models/none-27ad6261bde54e26afb2a4164f19a974,False
roomba,XYZ_HW3,CC Attribution-NonCommercial-ShareAlike,?,16022,8414,1,47,romafdgod,https://sketchfab.com/3d-models/none-b349dbe282ab428aa2157f1bd65df6d9,False
roomba,Evil roomba robot,CC Attribution,?,860,438,1,94,saltoc,https://sketchfab.com/3d-models/none-5b01eac95d384bf6872289f24f80c877,False
henry hoover,Henry Hoover 3D Scan,CC Attribution,?,27987,14303,1,108,juliegraham178,https://sketchfab.com/3d-models/none-e76282fe8fe5414e8acfb22e6a0674c8,False
shark vacuum,Shark Vacuum,CC Attribution-NonCommercial-ShareAlike,?,70448,35461,1,33,Zulstrider,https://sketchfab.com/3d-models/none-30a78be0c9c14c17b6db5c514b562bba,False
hoover vacuum cleaner,Vacuum Cleaner,CC Attribution,?,72,48,1,183,ekkurdziel,https://sketchfab.com/3d-models/none-146e717da6a542e0b8f16c4adeeb5b35,False
hoover vacuum cleaner,MMU 10063,CC Attribution,?,13360,6680,1,34,CollectedParts,https://sketchfab.com/3d-models/none-c96acf7c4ce14841a9026ef73af4ae7b,False
hoover vacuum cleaner,MMU 10064,CC Attribution,?,1818,911,1,71,CollectedParts,https://sketchfab.com/3d-models/none-2abeeb97c11344999ca0e93c7e9c25d5,False
shop vac,Shop Vacuum Hose Adapter,CC Attribution,?,13724,6862,1,54,downlow,https://sketchfab.com/3d-models/none-5b6a30a98bb44c7eba10338fdaa37818,False
dyson vacuum,Dyson vacuum cyclone head,CC Attribution,?,913290,455563,0,13,ducc.seaweed,https://sketchfab.com/3d-models/none-b0cf799080cc4630bc50f0089675a52c,False
miele vacuum cleaner,Miele nozzle holder,CC Attribution,?,469510,234735,0,34,Julian7_77,https://sketchfab.com/3d-models/none-8490bc5369b44f8280124f6d97b7f871,False
irobot roomba,Irobot Roomba 580,Free Standard,?,37209,18808,0,48,arturs2.korols2,https://sketchfab.com/3d-models/none-62440d43dac24db4a51a558368d1ba1f,False
bissell vacuum,MMU 10073,CC Attribution,?,1760,878,0,63,CollectedParts,https://sketchfab.com/3d-models/none-c0e1eae12f0949e8a46695ded1e5b686,False
karcher vacuum,Karcher Wd3 Cable Holder Itlu,CC Attribution,?,3206,1605,0,33,Itai.M.Lustgarten,https://sketchfab.com/3d-models/none-436c19fbc67a444d8c69d41ea02941a0,False
electrolux vacuum,Electrolux ZB2952 - 35mm adapter,CC Attribution-ShareAlike,?,1517,742,0,89,trygve55,https://sketchfab.com/3d-models/none-e02a4ce092e14310804ab8cb07e0b2b4,False
shop vac,Circular Saw Dust Collection Adapter,CC Attribution,?,6112,3016,0,514,0jgreen0,https://sketchfab.com/3d-models/none-871bcfc70804439aa55b73eacfbe8fe9,False
